Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Africa Western and Central,AFW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,9.15899826244474,9.62951109641276,..,..,..,..
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.7522790760429,50.9489385807558,48.8482047633884,51.2532526128876,51.3414214713772,..
Africa Western and Central,AFW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,22.7424713294736,27.3596070531589,22.8465676787064,28.1049233917569,26.5893676667704,..
Africa Western and Central,AFW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,78.2635084580284,81.589402722854,82.5993339267089,80.3578978731328,82.7088809503191,..
Africa Western and Central,AFW,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,..,..,..,..
Africa Western and Central,AFW,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..
Africa Western and Central,AFW,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.236574040258077,-2.80044952654478,0.712289021860471,2.93652375530459,2.77563814648491,..
Africa Western and Central,AFW,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,539974041963.935,524852341462.291,528590807071.505,544113001689.516,559215609724.394,..
Africa Western and Central,AFW,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-2.43507704241358,-5.38378609410137,-1.95390772244748,0.226237865657254,0.0890949631936451,..
Africa Western and Central,AFW,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,1344.60157134042,1272.21109892152,1247.35326801386,1250.17525342462,1251.28909660652,..
Africa Western and Central,AFW,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,1.60107237352023,0.490983873017936,1.15016854949389,0.461203242635601,4.95580786562282,..
Africa Western and Central,AFW,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,..,..,..,..,..,..
Africa Western and Central,AFW,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,11.7903620497793,11.4964964796365,11.3271031041377,11.4096319069731,11.809041083341,..
Africa Western and Central,AFW,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,1.73963657510499,1.89940476750208,1.99479296382704,2.00232465378875,1.92866076151495,..
Africa Western and Central,AFW,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,..,..,..,..,..,..
Africa Western and Central,AFW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,116.546851543272,114.699146262233,112.847045716325,111.056405501553,109.25192283229,..
Africa Western and Central,AFW,"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,..,..,15.4857473946463,..,..,..
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,75.37,77.42,..,..,..,..
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.98,99.89,99.89,100,100,..
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,..
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,..
Albania,ALB,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..,40.0151710510254,..,..,..
Albania,ALB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,97.79873,97.65542,97.77841,97.44221,..,..
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.0889730311118626,3.13471541335628,2.29077240347119,3.93859606166811,..,..
Albania,ALB,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,10482512288.116,10811109216.5185,11058767122.9597,11494327289.3336,..,..
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.380862706109397,3.29973950685378,2.38489484979098,4.19536251474777,..,..
Albania,ALB,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,3638.87297236681,3758.94630144023,3848.59321818968,4010.05565541074,..,..
Albania,ALB,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,-0.0408947143892533,1.01473591305119,0.152978159669621,0.586791338060026,-2.31177556978552,..
Albania,ALB,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,1980047725.76686,2033759824.98082,2257615987.85477,2576548888.73944,2618172719.88961,..
Albania,ALB,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,17.1863855541919,16.8716008873649,17.2947913333847,17.0295939436921,17.3648290869158,..
Albania,ALB,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,3.12424098454782,3.57259165362544,3.30333022302158,3.30333022302158,3.30333022302158,..
Albania,ALB,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,359944575.704731,430652279.218302,431207927.340623,499788300.496635,498057828.926093,..
Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,20.0772,19.8596,19.642,19.5724,19.5028,..
Albania,ALB,"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,..,..,..,3.7,..,..
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,92.7,92.62,..,..,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1868896484375,99.4028701782227,99.6151351928711,99.6419219970703,99.5,..
Algeria,DZA,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.757974343332,98.3889001650303,99.0372361760154,98.9619459198031,98.6810562530181,..
